timestamp,wiener_index
20190120,1940607
20190121,2208543
20190123,2135420
20190128,1904620
20190129,1871428
20190130,1651762
20190220,9377337
20190225,12482259
20190226,12972213
20190227,13410384
20190228,13702373
20190303,15224166
20190304,15633186
20190306,16977290
20190311,16477674
20190312,16271682
20190313,16164794
20190314,16123980
20190317,15675293
20190318,15525840
20190428,23236912
20190429,23248091
20190501,23319804
20190506,22768206
20190507,22710073
20190508,22615393
20190509,22463120
20190617,25502347
20190618,25453940
20190619,25468084
20190620,26016913
20190623,25857289
20190624,25710009
20190626,25375111
20190715,26856954
20190716,27135709
20190717,27269425
20190718,27431598
20190721,27486968
20190722,27590459
20190724,27839323
20190729,28340856
20190730,28352514
20190731,28325501
20190801,28297987
20190804,31239349
20190805,31368909
20190807,31481215
20190812,31866656
20190813,32138068
20190814,32043690
20190815,31949896
20190818,31632747
20190819,31573423
20190821,31307046
20190826,31681579
20190827,31859873
20190828,32000270
20190829,32064801
20190901,31815870
20190902,31749310
20190904,32665761
20190909,33073828
20190910,33126936
20190911,33388519
20190912,32946082
20190915,32680248
20190916,32855058
20190918,33003547
20190923,33292341
20190924,33336680
20190925,33277810
20190926,33125885
20190929,33345959
20190930,33270291
20191002,32909989
20191007,32684079
20191008,32390035
20191009,32353966
20191010,32254430
20191013,29608123
20191014,29892271
20191016,30723374
20191021,31049064
20191022,31130124
20191023,31213421
20191024,31339298
20191027,31633241
20191028,31723395
20191030,31833631
20191104,31863361
20191105,31361593
20191106,31378945
20191107,31435176
20191110,31364762
20191111,31294980
20191113,30759976
20191118,28347461
20200127,25186638
20200128,25159398
20200129,25233557
20200130,24846992
20200202,33384421
20200203,35642377
20200205,36062548
20200210,36467796
20200211,36451474
20200212,36889670
20200213,37152349
20200216,37618101
20200217,37907191
20200219,37898178
20200224,37152655
20200225,37192914
20200226,37321980
20200227,37417426
20200301,37580995
20200302,38428558
20200304,38483198
20200309,38635882
20200310,38621266
20200311,38535155
20200312,38379293
20200315,37760410
20200316,38031877
20200318,38239871
20200323,35318890
20200324,35476604
20200325,35616123
20200326,39144260
20200329,40297747
20200330,40682653
20200401,40684162
20200406,40722682
20200407,40780339
20200408,40831680
20200409,40964845
20200412,41208195
20200413,41257671
20200415,41002888
20200420,41609882
20200421,42855984
20200422,43263770
20200423,43230561
20200426,44216454
20200427,44447463
20200429,44725315
20200504,45702256
20200505,45635911
20200506,44916064
20200507,45342323
20200510,46674171
20200511,46766274
20200513,46478671
20200518,46760254
20200519,46770574
20200520,46888538
20200521,47693421
20200524,48165492
20200525,48197835
20200527,48420961
20200601,47096354
20200602,47277010
20200603,47474081
20200604,39784117
20200610,42877406
20200615,50297152
20200616,50729395
20200617,50845186
20200618,51017637
20200621,51608219
20200622,51916131
20200624,50829316
20200629,51743319
20200630,51373705
20200701,51567182
20200702,51699652
20200705,52499622
20200706,52571085
20200708,52771235
20200713,53244559
20200714,53198216
20200715,53214600
20200716,53211683
20200719,53257807
20200720,53302228
20200722,53264545
20200727,53333291
20200728,53406161
20200729,53485875
20200730,53422144
20200802,53718185
20200803,53794934
20200805,53684498
20200810,54352184
20200811,53074874
20200812,52792197
20200813,52884291
20200816,53057508
20200817,53160010
20200819,52814970
20200824,52783258
20200825,53518144
20200826,53398223
20200827,53658434
20200830,54306850
20200831,54686470
20200902,54855175
20200907,55307065
20200908,54668917
20200909,55064132
20200910,55443424
20200913,55651467
20200914,55177520
20200916,55323363
20200921,55472122
20200922,54150344
20200923,54020701
20200924,55156151
20200927,55347735
20200928,54963424
20200930,54884685
20201005,54088885
20201006,52914310
20201007,52258996
20201008,52333155
20201011,52250215
20201012,52451194
20201014,53224804
20201019,54018634
20201020,54024350
20201021,54143222
20201022,54152817
20201025,53877264
20201026,53860557
20201102,54651602
20201103,54425777
20201104,54878963
20201105,54859890
20201108,55051534
20201109,55947107
20201117,58978113
20201118,59068239
20201119,59514289
20201122,60647053
20201123,60701662
20201201,63158915
20201202,63231670
20201203,63192351
20201206,63826651
20201207,64354199
20201215,65274237
20201216,65043599
20201220,65027465
20201221,65133281
20201229,65880105
20201230,68491741
20210103,70431706
20210104,70649657
20210112,73605354
20210113,73815624
20210117,75076049
20210126,78371682
20210127,78933919
20210131,79260014
20210209,85647282
20210210,85762320
20210214,86705642
20210223,97651158
20210224,97918411
20210228,101228021
20210309,100397758
20210310,100959825
20210314,101471890
20210323,113908723
20210324,115051393
20210328,123870065
20210406,132498868
20210407,132679019
20210411,135595542
20210420,137258707
20210421,137663243
20210425,139115105
20210504,148499820
20210505,149552138
20210509,152934683
20210518,158292282
20210519,158384793
20210523,158622253
20210601,165596866
20210602,166160946
20210606,169934577
20210615,178999920
20210616,179867280
20210620,184703093
20210629,192444337
20210630,193794592
20210704,197923134
20210713,208056476
20210714,208931848
20210718,217314594
20210727,226987475
20210728,233158784
20210801,239603654
20210810,255484769
20210811,256262845
20210815,265642725
20210824,286182705
20210825,288518508
20210829,301047365
20210907,314571625
20210908,312195095
20210912,327038033
20210921,342358775
20210926,326977949
20211010,331190210
20220222,566595457
20220227,612613480
20220308,618871872
20220313,621073869
20220322,629566370
20220327,629340522
20220405,631671626
20220410,599909612
20220419,604694316
20220424,609301311
20220503,425003873
20220508,413068362
20220517,412705259
20220522,414179771
20220531,416430787
20220605,411943278
20230604,378008294
20230618,394008649
20230702,289440397
20230716,388994595
